,0,1,2,3,4,5,6,7,8,9,10
0,Val Acc.,0.990625,0.99375,0.975,0.925,0.975,0.98125,0.959375,0.8625,0.875,0.8734375
1,Precision,0.9910714285714286,0.9935632942729823,0.9740350877192983,0.9240506329113924,0.9746980772638667,0.9802631578947368,0.9597082985240879,0.8624503156418051,0.8771851519664253,0.8754762488758073
2,F1_score,0.9902097902097903,0.9937232671607137,0.9742347616901204,0.9233834586466165,0.9747302504178051,0.9802280216918076,0.9595872966182062,0.8559244298605876,0.8746492261939591,0.8741939369172698
3,Recall,0.9897260273972602,0.9939618798195838,0.9746893274853801,0.9236341778001484,0.9748834498834499,0.9807445499296765,0.9595739626227431,0.8541649341649342,0.8728762207841463,0.8734375000000001
4,Val Acc.,97.8125,98.4375,97.8125,93.125,97.8125,97.1875,94.375,91.25,87.5,82.03125
5,Precision,0.9776132404181184,0.984027121713116,0.9777804487179488,0.9285381728462744,0.9779703186381492,0.971765968867418,0.9479669887278585,0.912128514056225,0.8805292221373491,0.8362550689392255
6,F1_score,0.9769881712621998,0.984150622103344,0.9772968846629562,0.9287209001422752,0.9781729554179304,0.9708987083481913,0.9436735990675632,0.9102404492285152,0.8751119327960966,0.8142634852371744
7,Recall,0.9766652925756808,0.984392096621752,0.9776589912280702,0.9295439358503174,0.9784527972027972,0.970336229238768,0.944610229227395,0.910304137884783,0.871992781965581,0.8203125
8,Val Acc.,96.875,98.75,99.375,94.0625,96.5625,95.9375,95.625,90.625,88.125,80.9375
9,Precision,0.9678928414295928,0.9869335085336076,0.9932432432432432,0.9382781049447716,0.9667749251082584,0.9573159775071876,0.9571677559912856,0.9066483516483516,0.8868696328373747,0.8171151978878876
10,F1_score,0.967710571267782,0.9870902779228484,0.9932640841876076,0.9383667019512768,0.965527445394632,0.9575967541835552,0.9563527946928042,0.9040518586433754,0.878758386032972,0.8071452231124399
11,Recall,0.9680439286318282,0.9873251006353364,0.993421052631579,0.9384923045547836,0.9653044871794872,0.9580814725264304,0.9569211276528348,0.903374130954776,0.8789908579465541,0.809375
12,Val Acc.,98.125,99.375,98.75,96.5625,97.1875,96.875,95.3125,93.75,85.625,88.125
13,Precision,0.9804639094596252,0.993402777777778,0.987349602892366,0.9672619047619048,0.9728099292179888,0.9684966216216216,0.95466809322231,0.9355830087633886,0.8550351407906108,0.8827205066641309
14,F1_score,0.9803896076441738,0.9935103640285504,0.987348368781543,0.9645102202239708,0.9723817497903012,0.967829008796501,0.9539343406135076,0.934946655175488,0.8505563958513397,0.8817851834156183
15,Recall,0.9804667681380008,0.993654214559387,0.9875274122807018,0.9664634146341464,0.9725977288477288,0.9691134697134912,0.9534764016471332,0.9357324570227796,0.8557748719954487,0.88125
16,Val Acc.,98.125,99.375,98.75,95.0,96.875,93.75,95.3125,91.25,90.3125,82.5
17,Precision,0.9803896076441738,0.9932432432432432,0.986842105263158,0.9498050682261208,0.9690752032520326,0.944679675994109,0.9556664742409124,0.914624758354046,0.9136974010894956,0.8379114209189353
18,F1_score,0.9804092572109248,0.9935378990726532,0.9865540570571903,0.9485846016075864,0.9691372061305388,0.9325284090909092,0.9536559242368576,0.9097571196505406,0.9022239813599836,0.820998383268521
19,Recall,0.9804667681380008,0.9939618798195838,0.986842105263158,0.9493200584914584,0.96993006993007,0.93188202247191,0.9536743744060816,0.9084899291350904,0.9015686483667568,0.825
20,Val Acc.,98.75,98.4375,99.375,95.625,97.8125,95.3125,94.6875,92.1875,90.9375,83.125
21,Precision,0.9874427286611234,0.985885989010989,0.9932432432432432,0.9551087309315156,0.978090292203296,0.9522486772486772,0.9469976152172042,0.9194382202304736,0.9125481094294482,0.8344157228822277
22,F1_score,0.9869579945799458,0.9848114436796332,0.9932640841876076,0.9547238112746425,0.9779972978746954,0.950322410843532,0.9468075362781772,0.9183928088266242,0.9095921410962508,0.8316061094049356
23,Recall,0.9866396076441738,0.9843326558265584,0.993421052631579,0.955991469272458,0.9782925407925408,0.9516086497890296,0.9479727589483686,0.9180221536673148,0.9078357847785206,0.83125
24,Val Acc.,98.4375,97.1875,98.4375,93.75,95.625,95.625,95.9375,91.875,85.0,84.21875
25,Precision,0.9843060070971718,0.9736956521739132,0.9831981981981982,0.9344853069031474,0.9553269417501626,0.954911704149509,0.9617675918138492,0.9170763630812953,0.8616455601067228,0.8416983763758109
26,F1_score,0.9836083852520756,0.9724210779732791,0.9832169100970698,0.9346431082981717,0.9549808659452612,0.9544496158972996,0.9600946464668968,0.9158758419758792,0.8436323744544807,0.8406997045773441
27,Recall,0.9832149501099272,0.9723888634565088,0.9833698830409358,0.9352656197794854,0.9557328088578088,0.954253682106228,0.9593759898637948,0.9153409116312342,0.8490980913889283,0.8421875000000001
28,Val Acc.,98.75,98.75,99.6875,93.75,97.8125,90.625,98.125,93.75,92.5,87.1875
29,Precision,0.987878342638848,0.987386689118186,0.9965753424657534,0.9399066700416026,0.9784892098110488,0.922187321530554,0.9817193446579412,0.9336667066930224,0.9265934232132054,0.8798525324885563
30,F1_score,0.986822546237982,0.9876588738172996,0.9966202329298928,0.9357427216822912,0.978378882482059,0.908464320489637,0.981460667643508,0.9337396236369524,0.9247399452038432,0.8731999189722907
31,Recall,0.9863013698630136,0.988039536113388,0.9967105263157896,0.9382825347889664,0.9785329254079254,0.9097133330172726,0.981311371555274,0.934095634095634,0.9243530140330916,0.871875
32,Val Acc.,99.6875,99.6875,100.0,100.0,100.0,99.6875,99.6875,100.0,99.6875,99.84375
33,Precision,0.9969135802469136,0.996875,1.0,1.0,1.0,0.9965753424657534,0.996875,1.0,0.9972222222222222,0.998447204968944
34,F1_score,0.9968944099378882,0.9968939306246865,1.0,1.0,1.0,0.9966835053810674,0.9968939306246865,1.0,0.9970109952674092,0.998437484741062
35,Recall,0.9969135802469136,0.9969512195121952,1.0,1.0,1.0,0.9968354430379748,0.9969512195121952,1.0,0.9968354430379748,0.9984375
